City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
241,Canon City,US,2021-08-04 14:40:46,38.441,-105.2424,69.96,75,1,3.0
242,Cabo San Lucas,MX,2021-08-04 14:37:50,22.8909,-109.9124,85.8,68,72,5.01
243,Kushiro,JP,2021-08-04 14:40:47,42.975,144.3747,68.58,98,71,2.8
244,Port Hedland,AU,2021-08-04 14:40:47,-20.3167,118.5667,75.25,17,90,11.5
245,Sabang,ID,2021-08-04 14:40:47,5.8933,95.3214,83.23,76,95,23.98
246,Nsoko,SZ,2021-08-04 14:40:48,-27.0333,31.95,75.15,37,0,6.51
247,Patiya,BD,2021-08-04 14:40:48,22.2931,91.9762,84.15,89,75,8.05
248,Hay River,CA,2021-08-04 14:40:48,60.8156,-115.7999,53.58,66,20,4.61
249,Yeppoon,AU,2021-08-04 14:40:48,-23.1333,150.7333,49.78,46,1,11.56
250,Galesong,ID,2021-08-04 14:40:49,-5.3166,119.3661,77.02,71,78,10.96
251,Baykit,RU,2021-08-04 14:40:49,61.67,96.37,65.17,69,65,4.34
252,Buin,CL,2021-08-04 14:40:49,-33.7333,-70.75,62.92,29,0,5.68
253,Carnarvon,AU,2021-08-04 14:40:50,-24.8667,113.6333,55.47,38,0,11.5
254,Chuy,UY,2021-08-04 14:40:50,-33.6971,-53.4616,57.88,66,40,3.8
255,Grand Baie,MU,2021-08-04 14:40:50,-20.0182,57.5802,70.27,75,14,8.99
256,Tuatapere,NZ,2021-08-04 14:40:50,-46.1333,167.6833,35.82,83,100,3.24
257,Vila Velha,BR,2021-08-04 14:39:34,-20.3297,-40.2925,76.96,58,20,17.27
258,Sulangan,PH,2021-08-04 14:40:51,11.1373,123.7228,84.54,75,32,12.44
259,Bhadrapur,NP,2021-08-04 14:40:51,26.544,88.0944,84.85,75,94,1.21
260,Majene,ID,2021-08-04 14:40:51,-3.5403,118.9707,77.92,86,99,12.35
261,Margate,GB,2021-08-04 14:40:52,51.3813,1.3862,70.97,60,58,1.99
262,Malangwa,NP,2021-08-04 14:40:52,26.8568,85.5581,84.81,78,100,1.7
263,Marion,US,2021-08-04 14:37:19,39.7684,-86.1555,76.57,61,20,3.44
264,Salem,IN,2021-08-04 14:36:38,11.65,78.1667,81.73,62,93,5.57
265,Dongsheng,CN,2021-08-04 14:40:53,39.8161,109.9776,68.86,40,0,15.93
266,Flinders,AU,2021-08-04 14:40:53,-34.5833,150.8552,55.18,65,4,4.0
267,Mitchell,US,2021-08-04 14:40:53,43.7094,-98.0298,66.18,77,1,10.36
268,Nemuro,JP,2021-08-04 14:40:54,43.3236,145.575,66.99,98,99,6.08
269,Marzuq,YE,2021-08-04 14:40:54,14.4,46.4667,87.35,51,71,11.63
270,Kadhan,PK,2021-08-04 14:40:54,24.481,68.9859,85.62,66,100,22.12
271,Shagonar,RU,2021-08-04 14:40:55,51.5333,92.8,64.42,85,100,3.33
272,Sao Miguel,BR,2021-08-04 14:40:55,-5.4667,-35.3667,83.17,57,63,19.42
273,Samana,DO,2021-08-04 14:40:55,19.2056,-69.3369,84.42,74,20,0.0
274,Petropavlovsk-Kamchatskiy,RU,2021-08-04 14:40:55,53.0452,158.6483,43.39,100,0,8.95
275,Iralaya,HN,2021-08-04 14:40:56,15.0,-83.2333,84.29,81,83,10.74
276,Nova Olinda Do Norte,BR,2021-08-04 14:39:08,-3.8881,-59.0942,91.63,46,70,2.04
277,Manavalakurichi,IN,2021-08-04 14:40:56,8.1333,77.3,80.69,77,76,17.85
278,Talladega,US,2021-08-04 14:40:56,33.4359,-86.1058,79.18,80,1,0.0
279,Vanimo,PG,2021-08-04 14:40:57,-2.6741,141.3028,78.37,84,100,2.06
280,Mugur-Aksy,RU,2021-08-04 14:40:57,50.35,90.5,54.93,78,43,1.9
281,Yaqui,MX,2021-08-04 14:40:57,27.3667,-110.1667,82.8,64,21,6.6
282,Husavik,IS,2021-08-04 14:40:58,66.0449,-17.3389,55.31,72,68,6.73
283,Coos Bay,US,2021-08-04 14:40:58,43.3665,-124.2179,65.01,100,90,0.0
284,Makakilo City,US,2021-08-04 14:40:58,21.3469,-158.0858,77.32,64,1,8.05
285,Muskegon,US,2021-08-04 14:40:59,43.3,-86.1334,76.82,66,1,6.91
286,Zyryanka,RU,2021-08-04 14:40:59,65.75,150.85,39.29,97,100,19.51
287,Tonantins,BR,2021-08-04 14:41:00,-2.8731,-67.8022,87.48,41,9,3.36
288,Kahului,US,2021-08-04 14:41:00,20.8947,-156.47,76.84,79,1,13.8
289,Santa Maria,BR,2021-08-04 14:41:00,-29.6842,-53.8069,54.7,82,90,8.05
290,Sainte-Marie,RE,2021-08-04 14:41:01,-20.8968,55.5496,69.96,73,0,25.32
291,Coquimbo,CL,2021-08-04 14:41:01,-29.9533,-71.3436,58.73,72,20,1.14
292,Varhaug,NO,2021-08-04 14:41:01,58.6147,5.6457,64.85,65,24,9.51
